,Order,Wavelength Start (micron),Region Size (micron),Both Fibers,Species
156,34,1.27003,5.015e-05,1,"Emission line wavelength(s) in region: [(1.27006, 'O2 Line')] micron"
157,34,1.27011,4.097e-05,1,"Emission line wavelength(s) in region: [(1.27013, 'O2 Line')] micron"
158,34,1.2704,3.166e-05,0,"Emission line wavelength(s) in region: [(1.27042, 'O2 Line')] micron"
159,34,1.27068,4.945e-05,1,"Emission line wavelength(s) in region: [(1.2707, 'O2 Line')] micron"
160,34,1.27101,4.016e-05,1,"Emission line wavelength(s) in region: [(1.27103, 'O2 Line')] micron"
161,34,1.27168,4.83e-05,0,"Emission line wavelength(s) in region: [(1.27171, 'O2 Line')] micron"
162,34,1.272,4.793e-05,1,"Emission line wavelength(s) in region: [(1.27203, 'O2 Line')] micron"
163,34,1.27251,4.732e-05,1,"Emission line wavelength(s) in region: [(1.27254, 'O2 Line')] micron"
164,34,1.27272,3.851e-05,0,"Emission line wavelength(s) in region: [(1.27274, 'O2 Line')] micron"
165,34,1.27303,4.668e-05,1,"Emission line wavelength(s) in region: [(1.27305, 'O2 Line')] micron"
166,34,1.27377,4.574e-05,0,"Emission line wavelength(s) in region: [(1.27379, 'O2 Line')] micron"
167,34,1.27408,4.533e-05,1,"Emission line wavelength(s) in region: [(1.2741, 'O2 Line')] micron"
168,34,1.27444,4.485e-05,1,"Emission line wavelength(s) in region: [(1.27446, 'O2 Line')] micron"
169,34,1.27476,6.054e-05,1,"Emission line wavelength(s) in region: [(1.2748, 'OH Line')] micron"
170,34,1.27485,5.233e-05,1,"Emission line wavelength(s) in region: [(1.27488, 'O2 Line')] micron"
171,34,1.27499,5.212e-05,0,"Emission line wavelength(s) in region: [(1.27501, 'OH Line')] micron"
172,34,1.27517,4.386e-05,0,"Emission line wavelength(s) in region: [(1.27519, 'O2 Line')] micron"
173,34,1.27525,6.758e-05,0,"Emission line wavelength(s) in region: [(1.27528, 'OH Line')] micron"
174,34,1.27597,4.271e-05,1,"Emission line wavelength(s) in region: [(1.27599, 'O2 Line')] micron"
175,34,1.27608,2.708e-05,0,"Emission line wavelength(s) in region: [(1.27609, 'Blended OH and O2')] micron"
176,34,1.27627,4.227e-05,0,"Emission line wavelength(s) in region: [(1.27629, 'O2 Line')] micron"
177,34,1.27637,0.00010325,1,"Emission line wavelength(s) in region: [(1.27643, 'OH Line')] micron"
178,34,1.2771,4.101e-05,1,"Emission line wavelength(s) in region: [(1.27712, 'O2 Line')] micron"
179,34,1.27741,4.053e-05,1,"Emission line wavelength(s) in region: [(1.27743, 'Blended OH and O2')] micron"
180,34,1.27768,6.923e-05,0,"Emission line wavelength(s) in region: [(1.27771, 'OH Line')] micron"
181,34,1.27822,7.126e-05,1,"Emission line wavelength(s) in region: [(1.27825, 'OH Line'), (1.27826, 'O2 Line')] micron"
182,34,1.27838,4.602e-05,0,"Emission line wavelength(s) in region: [(1.27841, 'O2 Line')] micron"
183,34,1.27857,3.161e-05,0,"Emission line wavelength(s) in region: [(1.27859, 'O2 Line')] micron"
184,35,1.27445,4.624e-05,0,"Emission line wavelength(s) in region: [(1.27447, 'O2 Line')] micron"
185,35,1.27485,5.623e-05,0,"Emission line wavelength(s) in region: [(1.27488, 'O2 Line')] micron"
186,35,1.27524,6.103e-05,0,"Emission line wavelength(s) in region: [(1.27527, 'OH Line'), (1.27528, 'OH Line')] micron"
187,35,1.27596,4.534e-05,0,"Emission line wavelength(s) in region: [(1.27599, 'O2 Line')] micron"
188,35,1.27637,0.00014514,0,"Emission line wavelength(s) in region: [(1.27645, 'OH Line')] micron"
